Image Digest: sha256:fc4a234b91cc4b542bac8a6ad23b2ddcee60ae68fc4dbd4a52efb5f1b0baad71
Full Tag: docker.io/centos:latest
Image ID: 0d120b6ccaa8c5e149176798b3501d4dd1885f961922497cd0abef155c869566
Status: fail
Last Eval: 2020-09-23T16:15:03Z
Policy ID: 2c53a13c-1765-11e8-82ef-23527761d060
Final Action: stop
Final Action Reason: policy_evaluation

Gate                   Trigger            Detail                                                                                                                                                       Status        
dockerfile             instruction        Dockerfile directive 'HEALTHCHECK' not found, matching condition 'not_exists' check                                                                          warn          
vulnerabilities        package            MEDIUM Vulnerability found in os package type (rpm) - bind-export-libs (CVE-2020-8619 - https://access.redhat.com/security/cve/CVE-2020-8619)                warn          
vulnerabilities        package            MEDIUM Vulnerability found in os package type (rpm) - bind-export-libs (CVE-2020-8623 - https://access.redhat.com/security/cve/CVE-2020-8623)                warn          
vulnerabilities        package            MEDIUM Vulnerability found in os package type (rpm) - bind-export-libs (CVE-2020-8622 - https://access.redhat.com/security/cve/CVE-2020-8622)                warn          
vulnerabilities        package            MEDIUM Vulnerability found in os package type (rpm) - bind-export-libs (CVE-2020-8624 - https://access.redhat.com/security/cve/CVE-2020-8624)                warn          
vulnerabilities        package            MEDIUM Vulnerability found in os package type (rpm) - cryptsetup-libs (CVE-2020-14382 - https://access.redhat.com/security/cve/CVE-2020-14382)               warn          
vulnerabilities        package            MEDIUM Vulnerability found in os package type (rpm) - curl (CVE-2020-8177 - https://access.redhat.com/security/cve/CVE-2020-8177)                            warn          
vulnerabilities        package            MEDIUM Vulnerability found in os package type (rpm) - cyrus-sasl-lib (CVE-2019-19906 - https://access.redhat.com/security/cve/CVE-2019-19906)                warn          
vulnerabilities        package            MEDIUM Vulnerability found in os package type (rpm) - glibc (CVE-2020-1752 - https://access.redhat.com/security/cve/CVE-2020-1752)                           warn          
vulnerabilities        package            MEDIUM Vulnerability found in os package type (rpm) - glibc (CVE-2020-1751 - https://access.redhat.com/security/cve/CVE-2020-1751)                           warn          
vulnerabilities        package            MEDIUM Vulnerability found in os package type (rpm) - glibc (CVE-2020-10029 - https://access.redhat.com/security/cve/CVE-2020-10029)                         warn          
vulnerabilities        package            MEDIUM Vulnerability found in os package type (rpm) - glibc-common (CVE-2020-1752 - https://access.redhat.com/security/cve/CVE-2020-1752)                    warn          
vulnerabilities        package            MEDIUM Vulnerability found in os package type (rpm) - glibc-common (CVE-2020-1751 - https://access.redhat.com/security/cve/CVE-2020-1751)                    warn          
vulnerabilities        package            MEDIUM Vulnerability found in os package type (rpm) - glibc-common (CVE-2020-10029 - https://access.redhat.com/security/cve/CVE-2020-10029)                  warn          
vulnerabilities        package            MEDIUM Vulnerability found in os package type (rpm) - glibc-minimal-langpack (CVE-2020-1752 - https://access.redhat.com/security/cve/CVE-2020-1752)          warn          
vulnerabilities        package            MEDIUM Vulnerability found in os package type (rpm) - glibc-minimal-langpack (CVE-2020-1751 - https://access.redhat.com/security/cve/CVE-2020-1751)          warn          
vulnerabilities        package            MEDIUM Vulnerability found in os package type (rpm) - glibc-minimal-langpack (CVE-2020-10029 - https://access.redhat.com/security/cve/CVE-2020-10029)        warn          
vulnerabilities        package            MEDIUM Vulnerability found in os package type (rpm) - gnutls (CVE-2020-24659 - https://access.redhat.com/security/cve/CVE-2020-24659)                        warn          
vulnerabilities        package            MEDIUM Vulnerability found in os package type (rpm) - libarchive (CVE-2019-19221 - https://access.redhat.com/security/cve/CVE-2019-19221)                    warn          
vulnerabilities        package            MEDIUM Vulnerability found in os package type (rpm) - libcurl-minimal (CVE-2020-8177 - https://access.redhat.com/security/cve/CVE-2020-8177)                 warn          
vulnerabilities        package            MEDIUM Vulnerability found in os package type (rpm) - libgcrypt (CVE-2019-13627 - https://access.redhat.com/security/cve/CVE-2019-13627)                     warn          
vulnerabilities        package            MEDIUM Vulnerability found in os package type (rpm) - libsolv (CVE-2019-20387 - https://access.redhat.com/security/cve/CVE-2019-20387)                       warn          
